time,<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
842,VCB,20121109,9.7177,9.886,9.6756,9.886,384490
843,VCB,20121112,9.886,9.886,9.7177,9.8439,109060
844,VCB,20121113,9.8439,9.9701,9.6335,9.6756,191400
845,VCB,20121114,9.6756,10.0542,9.6756,9.928,361620
846,VCB,20121115,9.928,10.1804,10.0542,10.1804,612860
847,VCB,20121116,10.1804,10.2225,10.0122,10.0122,113140
848,VCB,20121119,10.0122,10.0542,9.886,9.886,187250
849,VCB,20121120,9.886,9.928,9.8018,9.8439,54040
850,VCB,20121121,9.8439,9.8439,9.7177,9.8439,89300
851,VCB,20121122,9.8439,9.928,9.8018,9.8018,112160
852,VCB,20121123,9.8018,9.886,9.7177,9.7177,36490
853,VCB,20121126,9.7177,9.7177,9.5915,9.5915,54310
854,VCB,20121127,9.5915,9.6756,9.5915,9.5915,45380
855,VCB,20121128,9.5915,9.6335,9.5494,9.6335,28060
856,VCB,20121129,9.6335,9.928,9.7177,9.8439,279940
857,VCB,20121130,9.8439,10.0963,9.8018,9.8018,422030
858,VCB,20121203,9.8018,9.9701,9.7598,9.8018,146900
859,VCB,20121204,9.8018,10.0963,9.886,10.0542,296390
860,VCB,20121205,10.0542,10.517,10.0963,10.4328,616260
861,VCB,20121206,10.4328,10.6852,10.4328,10.6011,447180
862,VCB,20121207,10.6011,10.6432,10.3908,10.3908,163330
863,VCB,20121210,10.3908,10.4749,10.3066,10.3908,91080
864,VCB,20121211,10.3908,10.6011,10.2646,10.6011,372770
865,VCB,20121212,10.6011,10.7694,10.517,10.6852,424460
866,VCB,20121213,10.6852,10.7273,10.559,10.6852,214710
867,VCB,20121214,10.6852,10.8956,10.517,10.517,307590
868,VCB,20121217,10.517,11.0218,10.6011,11.0218,811260
869,VCB,20121218,11.0218,11.4004,11.2742,11.2742,681340
870,VCB,20121219,11.2742,11.2742,11.148,11.1901,515770
871,VCB,20121220,11.1901,11.2321,11.0218,11.1059,558040
872,VCB,20121221,11.1059,11.1059,10.8535,10.9377,1077970
873,VCB,20121224,10.9377,11.0218,10.7694,10.9797,162430
874,VCB,20121225,10.9797,11.2742,11.0639,11.1901,499120
875,VCB,20121226,11.1901,11.2321,10.9797,11.2321,117050
876,VCB,20121227,11.2321,11.4425,11.2321,11.4004,680880
877,VCB,20121228,11.4004,11.4845,11.2321,11.4425,480040
878,VCB,20130102,11.4425,11.6949,11.4425,11.6949,168190
879,VCB,20130103,11.6949,11.9893,11.3583,11.9893,500650
880,VCB,20130104,11.9893,12.41,11.6949,12.2838,501540
881,VCB,20130107,12.2838,12.6204,11.779,12.6204,1312740
882,VCB,20130108,12.6204,13.2514,12.6624,13.2514,1035220
883,VCB,20130109,13.2514,13.3355,12.6204,13.3355,1583320
884,VCB,20130110,13.3355,13.6721,12.9148,13.6721,645400
885,VCB,20130111,13.6721,13.8403,13.4617,13.5038,432980
886,VCB,20130114,13.5038,13.5038,12.9569,13.4197,384930
887,VCB,20130115,13.4197,13.4617,13.1252,13.4617,509000
888,VCB,20130116,13.4617,13.8403,13.2514,13.5038,449000
889,VCB,20130117,13.5038,13.6721,13.2514,13.2514,358750
890,VCB,20130118,13.2514,13.4617,13.2093,13.2935,299790
891,VCB,20130121,13.2935,13.3355,12.9569,13.0831,269410
892,VCB,20130122,13.0831,13.1252,12.8728,12.8728,184710
893,VCB,20130123,12.8728,12.8728,12.4942,12.7886,530180
894,VCB,20130124,12.7886,13.041,12.7886,13.041,211230
895,VCB,20130125,13.041,13.6721,13.041,13.6721,426490
896,VCB,20130128,13.6721,13.8824,13.63,13.7983,453400
897,VCB,20130129,13.7983,14.3031,13.7562,14.3031,915570
898,VCB,20130130,14.3031,14.4714,14.1348,14.4293,767730
899,VCB,20130131,14.4293,14.4293,14.0927,14.3031,321460
900,VCB,20130201,14.3031,14.4293,13.7983,14.4293,433080
901,VCB,20130204,14.4293,14.4293,14.1348,14.1769,214910
902,VCB,20130205,14.1769,14.1769,13.9665,14.1769,288720
903,VCB,20130206,14.1769,14.5134,14.1769,14.5134,983270
904,VCB,20130207,14.5134,14.5976,14.4293,14.5134,121570
905,VCB,20130208,14.5134,14.5976,14.4714,14.5134,232830
906,VCB,20130218,14.5134,14.5134,14.4293,14.4293,228560
907,VCB,20130219,14.4293,14.4293,14.1769,14.261,529020
908,VCB,20130220,14.261,14.3452,13.7562,14.3452,394040
909,VCB,20130221,14.3452,14.3872,13.4617,13.4617,375710
910,VCB,20130222,13.4617,13.9665,13.2514,13.7562,518270
911,VCB,20130225,13.7562,14.0927,13.6721,14.0927,178380
912,VCB,20130226,14.0927,14.6163,13.4819,13.4819,240960
913,VCB,20130227,13.4819,13.6564,13.351,13.4819,259470
914,VCB,20130228,13.4819,14.3109,13.6128,14.0927,327730
915,VCB,20130301,14.0927,14.18,14.0055,14.1364,269070
916,VCB,20130304,14.1364,14.2673,13.9618,14.0055,371070
917,VCB,20130305,14.0055,14.2236,13.7873,13.7873,215070
918,VCB,20130306,13.7873,14.0491,13.7873,14.0491,157520
919,VCB,20130307,14.0491,14.0491,13.9182,14.0491,266560
920,VCB,20130308,14.0491,14.1364,14.0055,14.0927,274220
921,VCB,20130311,14.0927,14.0927,13.7873,14.0491,260040
922,VCB,20130312,14.0491,14.0927,13.9182,14.0927,158530
923,VCB,20130313,14.0927,14.18,14.0491,14.18,254430
924,VCB,20130314,14.18,14.2236,13.9618,13.9618,371790
925,VCB,20130315,13.9618,14.3545,13.9182,14.3545,671530
926,VCB,20130318,14.3545,14.3545,14.0927,14.2236,94990
927,VCB,20130319,14.2236,14.2236,14.0055,14.0055,138660
928,VCB,20130320,14.0055,14.1364,13.9618,14.0927,116040
929,VCB,20130321,14.0927,14.18,14.0055,14.0491,200370
930,VCB,20130322,14.0491,14.0491,13.831,13.8746,62100
931,VCB,20130325,13.8746,14.0927,13.8746,13.9618,205300
932,VCB,20130326,13.9618,14.0055,13.8746,13.8746,50010
933,VCB,20130327,13.8746,14.0927,13.7001,14.0927,159520
934,VCB,20130328,14.0927,14.1364,13.8746,13.9618,132670
935,VCB,20130329,13.9618,14.0055,13.5255,13.9618,129060
936,VCB,20130401,13.9618,13.9618,13.7437,13.9618,152250
937,VCB,20130402,13.9618,14.0927,13.9182,14.0491,679970
938,VCB,20130403,14.0491,14.1364,13.8746,13.9618,339260
939,VCB,20130404,13.9618,13.9618,13.7873,13.831,203140
940,VCB,20130405,13.831,13.9618,13.4819,13.5692,294150
941,VCB,20130408,13.5692,13.7437,13.5692,13.7437,162030
942,VCB,20130409,13.7437,13.7437,13.5692,13.6128,120270
943,VCB,20130410,13.6128,13.7001,12.6966,12.6966,502130
944,VCB,20130411,12.6966,13.0892,12.6529,12.8711,566150
945,VCB,20130412,12.8711,12.8711,12.4348,12.522,354980
946,VCB,20130415,12.522,12.522,11.7803,11.9112,329800
947,VCB,20130416,11.9112,12.3475,11.4313,12.2166,589680
948,VCB,20130417,12.2166,12.3475,11.9112,12.3039,367680
949,VCB,20130418,12.3039,12.3039,11.9112,11.9112,484490
950,VCB,20130422,11.9112,11.9112,11.6494,11.6494,426580
951,VCB,20130423,11.6494,11.9112,11.6494,11.7803,363270
952,VCB,20130424,11.7803,11.9112,11.6058,11.6058,314110
953,VCB,20130425,11.6058,11.9548,11.7803,11.9548,136300
954,VCB,20130426,11.9548,12.173,11.9548,11.9548,236810
955,VCB,20130502,11.9548,11.9985,11.8676,11.8676,37320
956,VCB,20130503,11.8676,11.8676,11.7803,11.8676,116280
957,VCB,20130506,11.8676,12.2602,11.9112,12.2166,320990
958,VCB,20130507,12.2166,12.3475,12.1294,12.173,299510
959,VCB,20130508,12.173,12.2602,12.1294,12.2602,119680
960,VCB,20130509,12.2602,12.2602,12.0857,12.1294,167260
961,VCB,20130510,12.1294,12.2602,11.9548,11.9985,195930
962,VCB,20130513,11.9985,12.1294,11.9112,12.1294,92860
963,VCB,20130514,12.1294,12.1294,11.8676,11.8676,199140
964,VCB,20130515,11.8676,12.2166,11.9112,12.173,242740
965,VCB,20130516,12.173,12.8711,12.173,12.8274,942020
966,VCB,20130517,12.8274,12.8274,12.4784,12.4784,189370
967,VCB,20130520,12.4784,12.9147,12.4784,12.8274,398580
968,VCB,20130521,12.8274,13.1765,12.8274,12.8711,287420
969,VCB,20130522,12.8711,13.0892,12.8711,12.8711,361120
970,VCB,20130523,12.8711,12.8711,12.4348,12.4784,514520
971,VCB,20130524,12.4784,12.6966,12.3475,12.4348,522000
972,VCB,20130527,12.4348,13.0456,12.6529,12.8711,804540
973,VCB,20130528,12.8711,13.002,12.8711,12.9583,727480
974,VCB,20130529,12.9583,13.0456,12.9147,12.9147,628100
975,VCB,20130530,12.9147,13.3946,12.9147,13.3946,1205890
976,VCB,20130531,13.3946,13.7001,13.3946,13.4819,689950
977,VCB,20130603,13.4819,13.5692,13.351,13.5255,401000
978,VCB,20130604,13.5255,13.5255,13.1765,13.1765,651470
979,VCB,20130605,13.1765,13.351,13.1329,13.351,334390
980,VCB,20130606,13.351,13.7437,13.2201,13.6564,388650
981,VCB,20130607,13.6564,14.0055,13.7873,13.9618,594630
982,VCB,20130610,13.9618,14.2236,13.7873,13.831,698650
983,VCB,20130611,13.831,13.9182,13.6128,13.6564,706730
984,VCB,20130612,13.6564,13.7437,13.3074,13.3074,743040
985,VCB,20130613,13.3074,13.5255,13.2638,13.4819,303570
986,VCB,20130614,13.4819,13.5692,13.351,13.351,497930
987,VCB,20130617,13.351,13.7001,13.351,13.351,482070
988,VCB,20130618,13.351,13.6128,13.351,13.5255,434260
989,VCB,20130619,13.5255,13.5692,13.3946,13.5255,284760
990,VCB,20130620,13.5255,13.5255,13.3074,13.4819,606070
991,VCB,20130621,13.4819,13.5255,13.351,13.4383,1335940
992,VCB,20130624,13.4383,13.4383,12.7838,12.8711,856880
993,VCB,20130625,12.8711,12.8711,11.9985,12.0857,778690
994,VCB,20130626,12.0857,12.1294,11.693,11.7803,1080010
995,VCB,20130627,11.7803,12.1294,11.7803,12.0421,537660
996,VCB,20130628,12.0421,12.2602,12.0421,12.2166,250140
997,VCB,20130701,12.2166,12.2166,11.9548,11.9548,190510
998,VCB,20130702,11.9548,12.1294,11.9548,12.1294,74490
999,VCB,20130703,12.1294,12.2166,11.9548,11.9548,246800
1000,VCB,20130704,11.9548,12.1294,11.9548,11.9548,235290
1001,VCB,20130705,11.9548,12.0857,11.9548,11.9985,108700
1002,VCB,20130708,11.9985,12.0421,11.9112,12.0421,117450
1003,VCB,20130709,12.0421,12.0857,11.9548,12.0421,105910
1004,VCB,20130710,12.0421,12.0857,11.9112,11.9112,238650
1005,VCB,20130711,11.9112,11.9985,11.8239,11.9985,189980
1006,VCB,20130712,11.9985,12.1294,11.9985,12.1294,155760
1007,VCB,20130715,12.1294,12.2166,12.0857,12.1294,269500
1008,VCB,20130716,12.1294,12.173,12.0421,12.0857,190580
1009,VCB,20130717,12.0857,12.0857,11.9985,12.0857,226070
1010,VCB,20130718,12.0857,12.1294,11.9985,12.0421,241470
1011,VCB,20130719,12.0421,12.3475,12.0857,12.2166,607350
1012,VCB,20130722,12.2166,12.3039,12.1294,12.173,115210
1013,VCB,20130723,12.173,12.4784,12.1294,12.3475,551970
1014,VCB,20130724,12.3475,12.3475,12.0421,12.0421,458990
1015,VCB,20130725,12.0421,12.173,11.9985,11.9985,184080
1016,VCB,20130726,11.9985,12.1294,11.9112,11.9985,231630
1017,VCB,20130729,11.9985,12.0857,11.693,11.7803,220170
1018,VCB,20130730,11.7803,11.9112,11.7803,11.8676,132300
1019,VCB,20130731,11.8676,11.9112,11.693,11.693,143940
1020,VCB,20130801,11.693,11.8239,11.6494,11.6494,357500
1021,VCB,20130802,11.6494,11.8239,11.693,11.7803,87330
1022,VCB,20130805,11.7803,11.8239,11.7367,11.8239,89320
1023,VCB,20130806,11.8239,11.9548,11.7367,11.9548,422260
1024,VCB,20130807,11.9548,11.9985,11.8239,11.8239,188380
1025,VCB,20130808,11.8239,11.9112,11.7367,11.7367,122680
1026,VCB,20130809,11.7367,11.7803,11.693,11.7367,168040
1027,VCB,20130812,11.7367,11.7803,11.693,11.693,230110
1028,VCB,20130813,11.693,11.7803,11.6058,11.6058,370930
1029,VCB,20130814,11.6058,11.6494,11.6058,11.6494,207680
1030,VCB,20130815,11.6494,11.8676,11.6494,11.7803,241320
1031,VCB,20130816,11.7803,11.8676,11.7803,11.7803,214020
1032,VCB,20130819,11.7803,11.9112,11.7367,11.7367,683340
1033,VCB,20130820,11.7367,11.7367,11.6494,11.6494,523600
1034,VCB,20130821,11.6494,11.693,11.6058,11.693,257190
1035,VCB,20130822,11.693,11.693,11.3876,11.3876,630520
1036,VCB,20130823,11.3876,11.5185,10.995,10.995,1079540
1037,VCB,20130826,10.995,11.1258,10.7332,10.995,845580
1038,VCB,20130827,10.995,10.995,10.9077,10.9513,173520
1039,VCB,20130828,10.9513,10.9513,10.6895,10.7332,960680
1040,VCB,20130829,10.7332,10.8204,10.166,10.166,1183920
1041,VCB,20130830,10.166,10.7768,10.2096,10.7768,1140480
1042,VCB,20130903,10.7768,10.8204,10.3405,10.3405,321820
1043,VCB,20130904,10.3405,10.515,10.2096,10.2969,497700
1044,VCB,20130905,10.2969,10.6023,10.2532,10.515,214020
1045,VCB,20130906,10.515,10.6895,10.4714,10.6895,529910
1046,VCB,20130909,10.6895,10.6895,10.3405,10.3405,645580
1047,VCB,20130910,10.3405,10.4714,10.3841,10.4278,346140
1048,VCB,20130911,10.4278,10.7768,10.4714,10.6023,403970
1049,VCB,20130912,10.6023,10.6895,10.5586,10.6023,339720
1050,VCB,20130913,10.6023,10.7332,10.6459,10.6895,326650
1051,VCB,20130916,10.6895,11.0822,10.9077,10.995,718300
1052,VCB,20130917,10.995,11.3876,11.0386,11.2567,1104560
1053,VCB,20130918,11.2567,11.2567,10.995,10.995,352070
1054,VCB,20130919,10.995,11.2131,10.995,10.995,541550
1055,VCB,20130920,10.995,11.1258,10.8641,11.1258,1632120
1056,VCB,20130923,11.1258,11.1258,10.8641,11.0386,248800
1057,VCB,20130924,11.0386,11.2567,10.9513,11.1258,196450
1058,VCB,20130925,11.1258,11.3004,11.0386,11.1695,239890
1059,VCB,20130926,11.1695,11.2567,10.9513,11.1695,314840
1060,VCB,20130927,11.1695,11.3004,11.1258,11.2567,305180
1061,VCB,20130930,11.2567,11.7803,11.3004,11.7367,850970
1062,VCB,20131001,11.7367,12.1294,11.7367,12.0857,1317150
1063,VCB,20131002,12.0857,12.3039,12.0421,12.173,636820
1064,VCB,20131003,12.173,12.173,11.9548,12.0857,416050
1065,VCB,20131004,12.0857,12.3475,11.9548,12.2602,409850
1066,VCB,20131007,12.2602,12.4348,12.2602,12.3911,376080
1067,VCB,20131008,12.3911,12.6529,12.3039,12.6529,790490
1068,VCB,20131009,12.6529,12.6529,12.4784,12.4784,335050
1069,VCB,20131010,12.4784,12.5657,12.3911,12.3911,221130
1070,VCB,20131011,12.3911,12.6093,12.4784,12.5657,432490
1071,VCB,20131014,12.5657,12.6529,12.5657,12.5657,358640
1072,VCB,20131015,12.5657,12.6529,12.4784,12.6093,246130
1073,VCB,20131016,12.6093,13.0456,12.6093,13.002,549920
1074,VCB,20131017,13.002,13.0456,12.8274,12.8711,244580
1075,VCB,20131018,12.8711,12.9583,12.7838,12.9583,183840
1076,VCB,20131021,12.9583,13.002,12.8711,12.9147,149520
1077,VCB,20131022,12.9147,12.9583,12.7838,12.8274,237630
1078,VCB,20131023,12.8274,13.1765,12.9147,13.1329,767030
1079,VCB,20131024,13.1329,13.1329,13.002,13.0456,275800
1080,VCB,20131025,13.0456,13.0892,13.002,13.0892,313500
1081,VCB,20131028,13.0892,13.0892,12.8274,12.8711,127840
1082,VCB,20131029,12.8711,12.9147,12.6966,12.9147,200890
1083,VCB,20131030,12.9147,13.002,12.8274,12.8274,102450
1084,VCB,20131031,12.8274,13.002,12.8274,12.8711,306730
1085,VCB,20131101,12.8711,12.9583,12.8274,12.8274,55140
